student_id,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,internships,projects,certifications,technical_skills,aptitude_score,communication_score,attendance,placed,company,package_lpa,placement_year
S0001,Mechanical,8.47,56.49,77.31,0,1,5,0,4,89.11,59.28,73.6,1,TCS,11.55,2026
S0002,Civil,6.36,80.06,89.64,0,1,1,2,4,61.98,42.25,67.15,0,Not Placed,0.0,2026
S0003,Electronics,7.95,97.8,89.73,4,1,3,4,4,76.09,95.07,83.4,0,Not Placed,0.0,2026
S0004,Civil,6.8,91.79,79.66,0,0,2,0,7,76.38,48.38,86.61,1,Capgemini,8.3,2024
S0005,Civil,5.46,77.42,59.51,0,1,0,5,1,61.9,73.11,88.51,0,Not Placed,0.0,2024
S0006,IT,9.59,57.74,88.83,0,1,3,5,5,94.27,56.44,95.28,1,Wipro,11.44,2025
S0007,Electronics,5.68,90.75,89.87,0,2,4,2,8,70.19,43.91,74.85,1,Accenture,11.49,2026
S0008,Electronics,9.75,80.76,58.85,0,1,1,0,7,67.89,43.0,63.01,1,Cognizant,10.14,2026
S0009,Electronics,7.23,59.94,83.18,1,0,4,1,2,99.85,46.93,98.33,0,Not Placed,0.0,2026
S0010,Civil,5.93,59.04,62.89,0,1,4,1,8,69.61,44.28,77.4,0,Not Placed,0.0,2025
S0011,Mechanical,7.71,94.11,86.12,0,0,5,1,6,50.7,85.63,84.93,0,Not Placed,0.0,2026
S0012,Electronics,9.36,83.78,94.88,1,2,2,1,6,70.78,69.13,86.65,1,Accenture,3.0,2026
S0013,Civil,8.66,90.66,51.35,0,1,5,5,7,88.84,60.57,81.86,1,Tech Mahindra,3.31,2024
S0014,IT,9.03,92.8,90.38,2,0,2,0,7,86.61,65.1,68.21,1,TCS,9.82,2026
S0015,Mechanical,8.29,79.59,78.02,2,3,3,3,5,87.31,95.74,90.21,1,Tech Mahindra,11.38,2025
S0016,IT,8.46,77.25,93.8,0,1,1,0,1,82.48,94.65,92.15,0,Not Placed,0.0,2025
